sample,leaf_length,leaf_b_width,leaf_m_width,leaf_e_width,roughness,leaf_thickness,species
1,57.5,1.3,1.9,0.2,1,0.4,yucca aloifolia
2,57,1.5,1.8,0.1,1,0.3,yucca aloifolia
3,58,1.4,2,0.2,1,0.4,yucca aloifolia
4,48,1.35,2.1,0.1,1,0.4,yucca aloifolia
5,56.9,1.3,2,0.1,1,0.3,yucca aloifolia
6,47,1.5,1.7,0.2,1,0.25,yucca aloifolia
7,44.5,1.6,1.8,0.1,1,0.3,yucca aloifolia
8,58.1,1.4,2,0.1,1,0.3,yucca aloifolia
9,45,1.3,2.1,0.1,1,0.4,yucca aloifolia
10,57.4,1.5,1.9,0.2,1,0.3,yucca aloifolia
11,58,1.2,2,0.2,1,0.3,yucca aloifolia
12,43.7,1.3,2,0.1,1,0.3,yucca aloifolia
13,57.6,1.4,2.1,0.2,1,0.4,yucca aloifolia
14,57.4,1.3,1.9,0.1,1,0.3,yucca aloifolia
15,57.7,1.2,1.8,0.1,1,0.3,yucca aloifolia
16,58,1.3,2,0.1,1,0.4,yucca aloifolia
17,45,1.4,2.1,0.2,1,0.25,yucca aloifolia
18,56.9,1.3,1.7,0.2,1,0.3,yucca aloifolia
19,57.5,1.4,1.8,0.1,1,0.2,yucca aloifolia
20,44,1.4,1.9,0.1,1,0.35,yucca aloifolia
21,57.4,1.2,2,0.2,1,0.3,yucca aloifolia
22,42.9,1.2,2,0.2,1,0.4,yucca aloifolia
23,58,1.4,2,0.1,1,0.4,yucca aloifolia
24,57.4,1.3,1.9,0.1,1,0.35,yucca aloifolia
25,57.5,1.4,1.8,0.2,1,0.3,yucca aloifolia
26,48.3,1.5,1.9,0.2,1,0.3,yucca aloifolia
27,58,1.2,2,0.2,1,0.3,yucca aloifolia
28,57,1.3,2,0.1,1,0.3,yucca aloifolia
29,46.2,1.4,2.1,0.2,1,0.4,yucca aloifolia
30,57.4,1.3,1.9,0.1,1,0.3,yucca aloifolia
31,37.5,0.4,1.4,0.1,0,0.1,Phoenix roebelenii
32,44,0.5,1.45,0.1,0,0.1,Phoenix roebelenii
33,38.5,0.45,1.5,0.2,0,0.1,Phoenix roebelenii
34,38.4,0.55,1.6,0.1,0,0.1,Phoenix roebelenii
35,44.5,0.5,1.6,0.1,0,0.1,Phoenix roebelenii
36,38.9,0.4,1.5,0.2,0,0.1,Phoenix roebelenii
37,38,0.45,1.45,0.1,0,0.1,Phoenix roebelenii
38,43,0.4,1.5,0.1,0,0.1,Phoenix roebelenii
39,38,0.5,1.5,0.2,0,0.1,Phoenix roebelenii
40,37.8,0.5,1.5,0.1,0,0.1,Phoenix roebelenii
41,45.5,0.45,1.45,0.2,0,0.1,Phoenix roebelenii
42,37,0.4,1.4,0.1,0,0.1,Phoenix roebelenii
43,37.1,0.4,1.5,0.2,0,0.1,Phoenix roebelenii
44,40,0.55,1.4,0.1,0,0.1,Phoenix roebelenii
45,37.4,0.5,1.4,0.1,0,0.1,Phoenix roebelenii
46,37.5,0.4,1.45,0.2,0,0.1,Phoenix roebelenii
47,38,0.35,1.5,0.2,0,0.1,Phoenix roebelenii
48,45.5,0.45,1.5,0.2,0,0.1,Phoenix roebelenii
49,39,0.4,1.4,0.1,0,0.1,Phoenix roebelenii
50,37.8,0.5,1.5,0.2,0,0.1,Phoenix roebelenii
51,43,0.4,1.45,0.1,0,0.1,Phoenix roebelenii
52,39,0.5,1.4,0.2,0,0.1,Phoenix roebelenii
53,38.9,0.45,1.4,0.2,0,0.1,Phoenix roebelenii
54,38,0.4,1.5,0.1,0,0.1,Phoenix roebelenii
55,48,0.4,1.4,0.1,0,0.1,Phoenix roebelenii
56,39,0.5,1.45,0.1,0,0.1,Phoenix roebelenii
57,38.5,0.45,1.5,0.2,0,0.1,Phoenix roebelenii
58,38.4,0.55,1.6,0.1,0,0.1,Phoenix roebelenii
59,38,0.5,1.6,0.1,0,0.1,Phoenix roebelenii
60,37.5,0.4,1.4,0.1,0,0.1,Phoenix roebelenii
61,26.3,0.5,0.7,0.2,0,0.1,Ptychosperma microcarpum
62,27,0.45,0.75,0.1,0,0.1,Ptychosperma microcarpum
63,26.5,0.6,0.8,0.2,0,0.1,Ptychosperma microcarpum
64,27,0.5,0.7,0.2,0,0.1,Ptychosperma microcarpum
65,28,0.5,0.7,0.1,0,0.1,Ptychosperma microcarpum
66,42,0.6,0.8,0.2,0,0.1,Ptychosperma microcarpum
67,28.4,0.55,0.75,0.2,0,0.1,Ptychosperma microcarpum
68,29.2,0.4,0.65,0.1,0,0.1,Ptychosperma microcarpum
69,29,0.45,0.7,0.1,0,0.1,Ptychosperma microcarpum
70,47,0.5,0.8,0.2,0,0.1,Ptychosperma microcarpum
71,29.3,0.6,0.65,0.1,0,0.1,Ptychosperma microcarpum
72,42,0.6,0.7,0.2,0,0.1,Ptychosperma microcarpum
73,28.9,0.5,0.7,0.2,0,0.1,Ptychosperma microcarpum
74,40,0.45,0.75,0.1,0,0.1,Ptychosperma microcarpum
75,27.8,0.5,0.8,0.1,0,0.1,Ptychosperma microcarpum
76,43,0.5,0.7,0.2,0,0.1,Ptychosperma microcarpum
77,29,0.6,0.8,0.1,0,0.1,Ptychosperma microcarpum
78,27.2,0.45,0.65,0.1,0,0.1,Ptychosperma microcarpum
79,42,0.5,0.7,0.2,0,0.1,Ptychosperma microcarpum
80,26.4,0.4,0.7,0.1,0,0.1,Ptychosperma microcarpum
81,28,0.5,0.65,0.1,0,0.1,Ptychosperma microcarpum
82,41,0.5,0.7,0.2,0,0.1,Ptychosperma microcarpum
83,29,0.6,0.7,0.2,0,0.1,Ptychosperma microcarpum
84,27,0.5,0.7,0.1,0,0.1,Ptychosperma microcarpum
85,43,0.6,0.8,0.1,0,0.1,Ptychosperma microcarpum
86,27.2,0.45,0.65,0.1,0,0.1,Ptychosperma microcarpum
87,41,0.5,0.7,0.2,0,0.1,Ptychosperma microcarpum
88,29,0.6,0.8,0.1,0,0.1,Ptychosperma microcarpum
89,40,0.45,0.65,0.1,0,0.1,Ptychosperma microcarpum
90,27.5,0.6,0.8,0.1,0,0.1,Ptychosperma microcarpum